Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Male,21-24,3,0,"Fiction, Mystery, Adventure, Fantasy","Love (romance), Survival","School/College Assignments, Recommendations from a friend",Well-written descriptive detail,Plot focused,"Afternoon, Night","Weekly, thrice",At home,"Print book, E-book","Online, places like Amazon",Online/Social Media,.
Male,18-21,5,30,"Fiction, Mystery, Adventure, Biography, Romance","Love (romance), Coming of age, Suffering, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Character focused,Night,"Daily, > 60 minutes",In a library,"Print book, E-book, Magazines, Newspaper, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",None
Female,18-21,4,4,"Fiction, Mystery, Adventure, Fantasy, Romance, Sci-Fi",Other,"Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Character focused,"Morning, Afternoon, Evening, Night","Weekly, thrice","In a library, At home, Other","Print book, Others",Book Stores,"Online/Social Media, Friends, Other",Shatter me
Other,Above 25,5,1,"Fiction, Self Help","Survival, Coming of age",Enjoyment,"Well-written descriptive detail, Other",Plot focused,Evening,"Daily, > 60 minutes",In a library,Newspaper,"Online, places like Amazon",Online/Social Media,None
Male,18-21,4,1,"Fiction, Mystery, Self Help",Rebellion,"Recommendations from a friend, Personality Development",Witty or believable dialogue,Plot focused,Night,"Weekly, thrice",At home,Print book,"Online, places like Amazon",Friends,Nothing lasts forever
Male,18-21,5,4,"Fiction, Mystery, Sci-Fi, Other","Vengeance, Survival, Coming of age, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Morning, Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own, Other",the girl with the dragon tattoo (trilogy)
Female,21-24,4,0,"Fiction, Mystery, Fantasy, Romance, Sci-Fi","Rebellion, Love (romance), Survival, Coming of age, Power and corruption","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Night","Daily, > 60 minutes","While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores",I like to browse books on my own,None
Female,21-24,5,7,"Fiction, Mystery, Adventure, Fantasy, Comics, Self Help","Rebellion, Survival, Power and corruption, Moral ambiguity",Enjoyment,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Weekly, thrice",Other,"Print book, E-book, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school, Other","Online/Social Media, Friends",None
Male,18-21,3,0,"Mystery, Adventure, Sci-Fi",Rebellion,"School/College Assignments, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Exciting action scenes",Plot focused,Night,I don't prefer reading,At home,"Print book, E-book, Magazines, Websites","Online, places like Amazon","Online/Social Media, Friends, I like to browse books on my own",None
Male,21-24,2,2,Sci-Fi,"Coming of age, Power and corruption",School/College Assignments,Other,Character focused,Evening,I don't prefer reading,Other,Print book,Other,Other,0.0
Female,Below 18,5,20,"Fiction, Mystery, Adventure, Fantasy, Sci-Fi","Vengeance, Survival, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs",Plot focused,Evening,"Weekly, thrice","At home, Other","Print book, E-book",Book Stores,"Friends, I like to browse books on my own",None
Other,Below 18,3,3,"Fiction, Mystery, Adventure, Sci-Fi","Rebellion, Vengeance, Survival, Suffering, Moral ambiguity","School/College Assignments, Enjoyment","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,"Evening, Night",I don't prefer reading,At home,"Print book, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school",I like to browse books on my own,Fahrenheit 451
Female,21-24,4,5,"Mystery, Adventure, Fantasy, Other","Rebellion, Vengeance, Suffering, Power and corruption, Moral ambiguity","Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, Other",Plot focused,Evening,"Weekly, once",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own",none
Female,21-24,3,3,"Fiction, Adventure, Comics, Self Help, Other","Vengeance, Love (romance), Coming of age, Other","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Character focused,Evening,"Daily, 30-60minutes",At home,"Print book, Applications, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Don't Make Me Think
Female,21-24,5,15,"Fiction, Adventure, Fantasy, Sci-Fi","Rebellion, Vengeance, Survival, Coming of age","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Exciting action scenes",Plot focused,"Afternoon, Evening, Night","Weekly, once","While commuting, At home, Other","Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own, Other",Radio Silence
Female,Below 18,4,0,"Fiction, Adventure, Fantasy, Sci-Fi, Other","Survival, Coming of age, Moral ambiguity, Other","School/College Assignments, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Other",Plot focused,"Morning, Evening","Weekly, thrice",At home,"Print book, E-book, Websites",Other,"Online/Social Media, Ads on TV/Computer, I like to browse books on my own",The Outsiders
Female,21-24,5,10,"Fiction, Adventure, Fantasy, Comics, Sci-Fi","Rebellion, Vengeance, Survival, Coming of age, Suffering, Power and corruption","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Morning, Evening, Night","Daily, 30-60minutes","While commuting, At home, Other","Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own",Radio silence most recently
Male,21-24,1,0,Fantasy,Survival,School/College Assignments,"Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Afternoon,I don't prefer reading,At home,Websites,Other,I like to browse books on my own,Goosebumps
Male,18-21,5,20,"Fiction, Mystery, Biography, Self Help",Vengeance,"Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, 30-60minutes",At home,Print book,Book Stores,"Online/Social Media, Friends, I like to browse books on my own",Strange Case of Dr Jeckyl and Mr Hide. I also liked Forensics by Val McDermid and Room!
Female,21-24,4,10,"Fiction, Biography, Self Help","Coming of age, Suffering, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment","Witty or believable dialogue, Interesting character arcs",Character focused,Night,"Weekly, once",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores","Friends, I like to browse books on my own",Wintergirls
Male,Above 25,2,0,Fiction,Other,Personality Development,Other,Plot focused,Afternoon,I don't prefer reading,"At home, Other","Print book, Newspaper","Online, places like Amazon",I like to browse books on my own,None
Female,18-21,5,18,"Fiction, Fantasy, Romance","Rebellion, Love (romance), Coming of age",Enjoyment,Interesting character arcs,Character focused,"Afternoon, Evening","Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores",Online/Social Media,Starfish by Akemi Dawn Bowman
Other,21-24,4,12,"Fantasy, Romance, Sci-Fi, Other","Rebellion, Love (romance), Moral ambiguity, Other",Enjoyment,"Witty or believable dialogue, Interesting character arcs, Other",Character focused,Afternoon,"Daily, 30-60minutes","While commuting, Other",E-book,"Online, places like Amazon","Friends, I like to browse books on my own",The Last Sun by K.D. Edwards
Female,Below 18,4,0,"Fiction, Adventure, Sci-Fi, Other","Survival, Other","Enjoyment, Relaxation","Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Weekly, thrice",At home,"E-book, Websites",Other,Online/Social Media,none
Female,Above 25,5,10,"Fiction, Fantasy, Romance, Sci-Fi","Love (romance), Survival, Coming of age, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, 30-60minutes",At home,"Print book, Applications","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Lord of the Rings
Female,18-21,5,15,"Fiction, Mystery, Adventure, Sci-Fi, Self Help","Rebellion, Vengeance, Survival, Coming of age","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Morning, Evening, Night","Daily, <30 minutes","While commuting, At home","Print book, E-book","Online, places like Amazon, Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, I like to browse books on my own",three body problem by Cixin Liu
Female,Below 18,4,10,"Fiction, Adventure, Fantasy, Comics","Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity","School/College Assignments, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, 30-60minutes","In a library, At home",Print book,"Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends",N/A
